slug,name,role,origin_character_slug,description_summary,tags,icon_url
detectives-hunch,刑事の直感,survivor,david-tapp,発電機修理完了時周囲にあるチェストやトーテムを表示する,aura;info,perks/detectives-hunch.png
stake-out,張り込み,survivor,david-tapp,脅威範囲内に隠れることでトークンを得て修理スキルを自動強化,gen-related,perks/stake-out.png
dance-with-me,ダンス・ウィズ・ミー,survivor,kate-denson,高速窓枠乗り越えなどの後一定時間自身の赤い足跡を消す,chase;stealth,perks/dance-with-me.png
windows-of-opportunity,ウィンドウズ・オブ・オポチュニティ,survivor,kate-denson,自身の周囲にあるすべてのパレットや窓枠のオーラを常に表示,aura;info;chase,perks/windows-of-opportunity.png
boil-over,ボイルオーバー,survivor,kate-denson,キラーに担がれた際の揺さぶりを強めフックの位置情報を乱す,chase,perks/boil-over.png
deliverance,解放,survivor,adam-francis,安全に仲間をフック救助した際自身の初回吊り時に自力脱出する,endurance,perks/deliverance.png
diversion,陽動,survivor,adam-francis,脅威範囲内に一定時間潜み石を投げて離れた場所に音通知を起こす,stealth,perks/diversion.png
autodidact,独学者,survivor,adam-francis,スキルグレート失敗を引き換えに治療スキル成功時の進行を高める,healing,perks/autodidact.png
breakdown,ブレイクダウン,survivor,jeff-johansen,フックから自力救助または救助された際そのフックを一時破壊する,communication,perks/breakdown.png
aftercare,アフターケア,survivor,jeff-johansen,救助や治療を相互に行った生存者同士のオーラを永続表示する,aura;info;communication,perks/aftercare.png
distortion,ディストーション,survivor,jeff-johansen,トークンを消費してキラーからの自身のオーラ可視を完全に防ぐ,stealth;info,perks/distortion.png
solidarity,連帯感,survivor,jane-romero,自分が負傷中に他サバイバーを治療する際自身の傷も同時回復する,healing,perks/solidarity.png
poised,平常心,survivor,jane-romero,発電機の修理が完了した瞬間から一定時間赤い足跡を消去する,stealth,perks/poised.png
head-on,真っ向勝負,survivor,jane-romero,ロッカー内に隠れた後勢いよく出ることでキラーをスタンさせる,chase,perks/head-on.png
flip-flop,フリップ・フロップ,survivor,ash-williams,這いずり状態時の自己回復進行度の一部をもがきゲージに変換する,endurance,perks/flip-flop.png
buckle-up,ベルトを締めろ！,survivor,ash-williams,瀕死の生存者回復時にキラーを視認しその生存者を加速させる,healing;info;aura,perks/buckle-up.png
mettle-of-man,英雄の奮起,survivor,ash-williams,味方を庇い攻撃を受けた回数に応じて負傷時の一撃を無効化する,endurance,perks/mettle-of-man.png
better-together,一緒にいよう,survivor,nancy-wheeler,修理中の発電機のオーラを範囲内の全サバイバーに共有する,aura;info;communication,perks/better-together.png
fixated,執着心,survivor,nancy-wheeler,自身の無傷時に赤い足跡を確認でき通常の歩行速度が上昇する,info;stealth,perks/fixated.png
inner-strength,内なる力,survivor,nancy-wheeler,トーテムを浄化後にロッカーに一定時間隠れることで自己回復する,healing,perks/inner-strength.png
babysitter,ベビーシッター,survivor,steve-harrington,救助した味方の足跡を隠して加速しお互いのオーラをキラーに示す,communication;stealth,perks/babysitter.png
camaraderie,仲間意識,survivor,steve-harrington,自身がフック吊り中に仲間が近づいた際耐久進行タイマーを止める,communication;endurance,perks/camaraderie.png
second-wind,セカンドウインド,survivor,steve-harrington,他者のフック救助後に次にフックから降りた際自動で自己治療する,healing,perks/second-wind.png
any-means-necessary,怪我の功名,survivor,yui-kimura,倒されたが壊されていないパレットを元に戻しオーラを表示する,chase;aura,perks/any-means-necessary.png
breakout,強硬手段,survivor,yui-kimura,担がれた味方の近くにいる際自身の速度上昇ともがきを速める,chase;communication,perks/breakout.png
lucky-break,突破,survivor,yui-kimura,負傷した瞬間に足跡と血液を一定時間隠してキラーを攪乱する,stealth,perks/lucky-break.png
red-herring,おとり,survivor,zarina-kassir,特定の発電機修理後にロッカーへ入ることでそこに爆発音を起こす,stealth,perks/red-herring.png
off-the-record,オフレコ,survivor,zarina-kassir,フックから救助時に一定時間足跡血痕うめき声を完全に隠す,stealth;endurance,perks/off-the-record.png
for-the-people,人々のために,survivor,zarina-kassir,自身の健康段階を犠牲にして瞬時に負傷した仲間を回復する,healing,perks/for-the-people.png
soul-guard,ソウルガード,survivor,cheryl-mason,這いずり状態から回復した直後に一撃分の我慢効果を獲得する,endurance,perks/soul-guard.png
blood-bound,血の協定,survivor,cheryl-mason,オブセッションと治療時に相互オーラ表示と一時移動速度バフ,aura;info;communication,perks/blood-bound.png
repressed-alliance,抑圧の同盟,survivor,cheryl-mason,一定時間修理した発電機を自身で一定時間完全封鎖し破壊を防ぐ,gen-related,perks/repressed-alliance.png
visionary,透視家,survivor,felix-richter,自身の周囲にあるすべての未完了の発電機のオーラを表示する,aura;info;gen-related,perks/visionary.png
desperate-measures,苦肉の策,survivor,felix-richter,負傷中やフック吊りの仲間人数に基づき全員の治療救助を速める,healing,perks/desperate-measures.png
built-to-last,耐久設計,survivor,felix-richter,消耗しきったアイテムをロッカーに持ち込み一定時間で再補給する,healing,perks/built-to-last.png
appraisal,査定,survivor,elodie-rakoto,開放済みのチェストを物色して再度アイテムを獲得可能にする,info,perks/appraisal.png
deception,欺き,survivor,elodie-rakoto,走りながらロッカーを開くフェイントを入れ足跡を一定時間消す,stealth;chase,perks/deception.png
power-struggle,勢力争い,survivor,elodie-rakoto,キラーに担がれ移動中パレットの下でもがき度消費で板を落とす,chase,perks/power-struggle.png
fast-track,出世街道,survivor,yun-jin-lee,味方が吊るされるたびにトークンを得て修理スキル判定を強化,gen-related,perks/fast-track.png
smash-hit,大ヒット,survivor,yun-jin-lee,パレットをキラーにぶつけて気絶させた際大きく移動加速する,chase,perks/smash-hit.png
self-preservation,自己防衛,survivor,yun-jin-lee,近くの味方が被弾した際一時的に自身の足跡血痕うめき声を隠す,stealth,perks/self-preservation.png
counterforce,カウンターフォース,survivor,jill-valentine,トーテム破壊速度を上げ遠い別トーテムのオーラを順次表示する,totem;aura;info,perks/counterforce.png
resurgence,起死回生,survivor,jill-valentine,自身がフックから救助または救助した際治療進行度を半分得る,healing,perks/resurgence.png
blast-mine,地雷爆破,survivor,jill-valentine,発電機に地雷を設置し蹴ったキラーを眩ましスタン状態にする,gen-related;chase,perks/blast-mine.png
bite-the-bullet,忍苦の時,survivor,leon-s-kennedy,治療アクション中の治療音および負傷のうめき声を完全無音化,stealth;healing,perks/bite-the-bullet.png
flashbang,スタングレネード,survivor,leon-s-kennedy,発電機修理によりロッカー内でキラー気絶用閃光弾を製造する,chase,perks/flashbang.png
rookie-spirit,新人魂,survivor,leon-s-kennedy,修理スキル判定成功で後退中発電機の場所を常時オーラ視認する,aura;info;gen-related,perks/rookie-spirit.png
clairvoyance,千里眼,survivor,mikaela-reid,トーテム浄化後手ぶら時にチェストやハッチの位置を可視化する,aura;info,perks/clairvoyance.png
boon-circle-of-healing,恵み：癒しの輪,survivor,mikaela-reid,恵み範囲内で他者への治療を高速化するトーテムを祝福する,totem;healing,perks/boon-circle-of-healing.png
boon-shadow-step,恵み：シャドーステップ,survivor,mikaela-reid,恵み範囲内での生存者の足跡とキラーへのオーラ表示を消す,totem;stealth,perks/boon-shadow-step.png
overcome,打開策,survivor,jonah-vasquez,被弾して負傷ブーストを得た際の加速時間を通常より大幅に延ばす,chase,perks/overcome.png
corrective-action,是正措置,survivor,jonah-vasquez,近くの仲間が修理治療のスキルチェックで失敗した際自動で成功に,gen-related;communication,perks/corrective-action.png
boon-exponential,恵み：指数関数,survivor,jonah-vasquez,恵み範囲内で這いずり自己回復速度を上げ自力復帰可能にする,totem;healing;endurance,perks/boon-exponential.png
parental-guidance,親の指導,survivor,yoichi-asakawa,キラーをスタン眩ましさせた際一定時間足跡血痕うめきを消す,stealth;chase,perks/parental-guidance.png
empathic-connection,共感のつながり,survivor,yoichi-asakawa,他負傷者に自身のオーラを示し自身の他者治療速度を高める,healing;communication,perks/empathic-connection.png
boon-dark-theory,恵み：闇の理論,survivor,yoichi-asakawa,恵み範囲内に入ったすべての生存者の移動速度を僅かに高める,totem;chase,perks/boon-dark-theory.png
inner-focus,インナーフォーカス,survivor,haddie-kaur,近くの仲間が負傷した際キラーの姿と味方の足跡を可視化する,aura;info,perks/inner-focus.png
residual-manifest,残像の顕現,survivor,haddie-kaur,キラー眩まし成功時一定時間キラーに盲目付与しチェスト補正,info;chase,perks/residual-manifest.png
overzealous,過剰な熱意,survivor,haddie-kaur,トーテムを浄化祝福した際自身の発電機修理速度を加速する,totem;gen-related,perks/overzealous.png
wiretap,盗聴,survivor,ada-wong,発電機に盗聴器を設置しキラー接近時そのオーラを全員に示す,aura;info;gen-related,perks/wiretap.png
reactive-healing,反射回復,survivor,ada-wong,近くの生存者が負傷した際自身の治療ゲージを即座に部分回復,healing,perks/reactive-healing.png
low-profile,雲隠れ,survivor,ada-wong,自身が最後の生存者となった際足跡血液うめきを完全遮断する,stealth,perks/low-profile.png
better-than-new,優秀な新人,survivor,rebecca-chambers,治療完了した仲間の修理や治療、解体速度を一時向上させる,healing;communication,perks/better-than-new.png
reassurance,安心感,survivor,rebecca-chambers,フックに吊られた味方に近づきボタン入力で耐久進行を止める,communication;endurance,perks/reassurance.png
hyperfocus,全集中,survivor,rebecca-chambers,グレート連続成功で修理治癒速度を指数関数的に増加する,gen-related;healing,perks/hyperfocus.png
potential-energy,位置エネルギー,survivor,vittorio-toscano,発電機修理進行を一旦トークンに変換し別発電機に一括注入する,gen-related,perks/potential-energy.png
fogwise,霧の作法,survivor,vittorio-toscano,修理スキルチェックでグレートを出す度キラーオーラを表示する,aura;info;gen-related,perks/fogwise.png
quick-gambit,加速の策略,survivor,vittorio-toscano,自身がチェイス中その周辺の発電機修理を行っている仲間を加速,chase;communication;gen-related,perks/quick-gambit.png
friendly-competition,協調競争,survivor,thalita-lyra,他者と修理完了時お互いの修理速度を一定時間上昇させる,gen-related;communication,perks/friendly-competition.png
teamwork-power-of-two,チームワーク：二人の力,survivor,thalita-lyra,治療を完了した味方の近くを走る際お互いに迅速速度バフ,chase;healing;communication,perks/teamwork-power-of-two.png
cut-loose,スマートに行こう,survivor,thalita-lyra,チェイス中高速乗り越え成功後一定時間再度乗り越え通知を消す,chase;stealth,perks/cut-loose.png
blood-rush,血の騒ぎ,survivor,renato-lyra,フック救助後瀕死手前で自ら健康度と引き換えに疲労を即解除する,chase;endurance,perks/blood-rush.png
teamwork-collective-stealth,チームワーク：共同ステルス,survivor,renato-lyra,治療を完了した味方の近くでお互いの足跡を一時的に消去する,stealth;healing;communication,perks/teamwork-collective-stealth.png
background-player,陰の実力者,survivor,renato-lyra,味方が担がれた瞬間に数秒間だけ劇的な迅速移動加速を得る,chase,perks/background-player.png
troubleshooter,修理担当者,survivor,gabriel-soma,チェイス中に最も進んだ発電機を表示し板倒し時キラーを表示,aura;info;chase,perks/troubleshooter.png
made-for-this,状況適応能力,survivor,gabriel-soma,負傷中のチェイス中迅速を得て仲間救助後に我慢効果を与える,chase;endurance,perks/made-for-this.png
scavenger,スカベンジャー,survivor,gabriel-soma,グレート修理成功で工具箱ゲージを満タンに再生リチャージする,gen-related,perks/scavenger.png
dramaturgy,劇作法,survivor,nicolas-cage,無傷時に走る際迅速加速しランダムでアイテム入手などの効果,chase,perks/dramaturgy.png
scene-partner,シーンの相手役,survivor,nicolas-cage,キラー注視時に大声を出すが引き換えにキラーオーラを表示する,aura;info,perks/scene-partner.png
plot-twist,予想外の展開,survivor,nicolas-cage,負傷時に任意に瀕死になり音を立てず自力立ち上がり全回復する,stealth;healing,perks/plot-twist.png
chemical-trap,化学的な罠,survivor,ellen-ripley,パレットにトラップを仕掛けキラー破壊時キラー移動を減速,chase,perks/chemical-trap.png
light-footed,忍び足,survivor,ellen-ripley,自身の無傷状態時の走行中の足音ノイズを完全に消去する,stealth,perks/light-footed.png
lucky-star,幸運の星,survivor,ellen-ripley,ロッカー内に隠れる際うめき声と血痕をなくし仲間キラーを可視,stealth;aura;info,perks/lucky-star.png
champion-of-light,光の闘士,survivor,alan-wake,ライト照射中移動が速くなり眩まし成功時にキラー移動を妨害,chase,perks/champion-of-light.png
boon-illumination,恵み：イルミネーション,survivor,alan-wake,恵み範囲内の全生存者に全未完了発電機とチェストを表示,totem;aura;info,perks/boon-illumination.png
deadline,締め切り,survivor,alan-wake,負傷時のスキルチェック発生率を高め失敗判定を抑制するパーク,gen-related;healing,perks/deadline.png
invocation-weaving-spiders,呼び出し：網を張る蜘蛛,survivor,sable-ward,地下室で儀式完了後自身を衰弱にする代わりに全発電進行を削る,gen-related,perks/invocation-weaving-spiders.png
strength-in-shadows,影に潜む強み,survivor,sable-ward,地下室での治療速度を大幅に高め自己回復も可能にするパーク,healing,perks/strength-in-shadows.png
wicked,邪気,survivor,sable-ward,地下室のフックから自力で確実に脱出しキラーオーラを表示する,endurance;aura;info,perks/wicked.png
mirrored-illusion,幻影,survivor,the-troupe,発電機に自身の分身ホログラムを設置しキラーの視線を引く,stealth;chase,perks/mirrored-illusion.png
bardic-inspiration,吟遊詩人の鼓舞,survivor,the-troupe,その場でリュート演奏しダイスの出目で周囲全員の修理をバフ,communication;gen-related,perks/bardic-inspiration.png
still-sight,不動の視力,survivor,the-troupe,その場で立ち止まることで範囲内の全チェスト発電機キラーを可視,aura;info,perks/still-sight.png
finesse,俊敏,survivor,lara-croft,無傷時のパレットや窓枠の高速乗り越え速度を大幅に上昇する,chase,perks/finesse.png
hardened,強靭,survivor,lara-croft,叫び声を自動で無効化し代わりに最も近いキラーの姿を表示,info,perks/hardened.png
specialist,スペシャリスト,survivor,lara-croft,チェストを解錠する度トークンを得て修理グレート進行を強化,gen-related,perks/specialist.png
eyes-of-belmont,ベルモンドの目,survivor,trevor-belmont,発電機通電やキラーアクション時キラーの可視時間を延ばす,aura;info,perks/eyes-of-belmont.png
exultation,歓喜,survivor,trevor-belmont,パレットを当ててスタン時所持アイテムレア度を一時昇格再生,chase,perks/exultation.png
moment-of-glory,栄光の瞬間,survivor,trevor-belmont,チェストを特定数開封後次に負傷した際自動で時間を経て回復,healing,perks/moment-of-glory.png
invocation-treacherous-crows,恵み：裏切りのカラス,survivor,taurie-cain,地下室で儀式完了後カラス飛散時キラー位置を全仲間に共有,aura;info,perks/invocation-treacherous-crows.png
clean-break,クリーンブレイク,survivor,taurie-cain,他人の治療後に自分が他人に治療されると、即座に無傷状態になる,healing,perks/clean-break.png
shoulder-the-burden,重責の引き受け,survivor,taurie-cain,フックの吊り段階を1回分肩代わりし、自身は一定時間無防備になる,endurance,perks/shoulder-the-burden.png
do-no-harm,害をなすなかれ,survivor,orela-rose,他者のフック段階が進んでいるほど、その生存者に対する治療速度を向上させる,healing,perks/do-no-harm.png
duty-of-care,救助義務,survivor,orela-rose,無傷時に味方の身代わりとなって攻撃を受けると、周囲の仲間に迅速を付与する,chase;endurance;communication,perks/duty-of-care.png
rapid-response,迅速な対応,survivor,orela-rose,ロッカーから勢いよく飛び出ると疲労状態になり、数秒間キラーのオーラを表示する,aura;info;chase,perks/rapid-response.png
unyielding-resolve,信念,survivor,michonne-grimes,這いずり状態から最後の力を振り絞り、キラーの隙を突いて自力回復する能力,endurance;healing,perks/unyielding-resolve.png
decisive-vault,最後の抵抗,survivor,michonne-grimes,チェイス中にキラーの目前で窓枠等を乗り越え、一瞬だけキラーを怯ませる,chase,perks/decisive-vault.png
inspiring-combatant,チームワーク：挑戦,survivor,michonne-grimes,チェイスを引き受けて持ちこたえることで、他生存者の作業速度を向上させる,communication;chase;gen-related,perks/inspiring-combatant.png
tactical-leadership,終末世界の知恵,survivor,rick-grimes,指示を出すことで周囲のサバイバー作業速度を全体的に高める,communication;healing;gen-related,perks/tactical-leadership.png
survival-instinct,捕まえてみろ！,survivor,rick-grimes,負傷時にキラーオーラを可視化し自身の足跡を急消滅する,info;stealth;aura,perks/survival-instinct.png
alexandrias-pledge,チームワーク：強化,survivor,rick-grimes,仲間が吊られている間自身のチェイス能力と救助速度が上がる,communication;chase,perks/alexandrias-pledge.png
road-life,ロードライフ,survivor,vee-boonyasak,発電機の修理が一定時間完了する度に、次の治療速度が大幅に上昇する,healing;gen-related,perks/road-life.png
one-two-three-four,ワン・ツー・スリー・フォー,survivor,vee-boonyasak,ドラムを演奏し、範囲内の味方の修理や治療時のスキルチェック確率を上げる,communication;healing;gen-related,perks/one-two-three-four.png
ghost-notes,ゴーストノート,survivor,vee-boonyasak,負傷時に隠密しながら走ることで、疲労ステータスの回復速度を向上させる,chase;stealth,perks/ghost-notes.png
telekinetic-blast,ESP,survivor,eleven,超能力を使い、離れた場所にあるパレットを遠隔操作で引き倒してキラーを防ぐ,chase,perks/telekinetic-blast.png
psychokinetic-shield,チームワーク：小さな声,survivor,eleven,身代わり防御を成功させた際、一撃をバリアで防いで自身が迅速状態になる,endurance;chase,perks/psychokinetic-shield.png
sensory-deprivation,みんなに見える,survivor,eleven,キラーの脅威範囲内でしゃがみ移動を行う際、自身の足跡とオーラを完全に隠す,stealth,perks/sensory-deprivation.png
compass-connection,ジャ・ジャ・ジャ・ジャーン,survivor,dustin-henderson,発電機の修理が完了した際、ハッチと脱出ゲートの位置を自身と仲間に表示する,aura;info;communication,perks/compass-connection.png
radio-transmitter,作戦変更,survivor,dustin-henderson,自身の周囲にいるキラーや生存者のオーラ情報を、他の全生存者に伝達する,aura;info;communication,perks/radio-transmitter.png
curious-mind,チームワーク：つながった回路,survivor,dustin-henderson,チェストやフックのオーラを素早く解読し、アイテム回収と救助を迅速化する,info;aura,perks/curious-mind.png
encore,フロー状態,survivor,kwon-tae-young,キラーのチェイスを逃れた際、またはフックから救助した際に一時的に迅速を得る,chase,perks/encore.png
stage-presence,秘密の場所,survivor,kwon-tae-young,自身がチェイスされている間、他の生存者の発電機修理スキルチェックを支援する,communication;gen-related,perks/stage-presence.png
spotlight,先読み,survivor,kwon-tae-young,自身がチェイス中、キラーの現在地のオーラを他の全生存者に常時共有する,aura;info;communication,perks/spotlight.png
wide-open-throttle,アクセル全開,survivor,shane-wiigwaas,板を高速で乗り越えた際迅速を得てその板を元に戻した上で一時的に封鎖する,chase,perks/wide-open-throttle.png
lend-a-hand,手助け,survivor,shane-wiigwaas,トーテム浄化や恵み完了後に治療で永続治療チャージを与える,totem;healing,perks/lend-a-hand.png
cross-examination,反対尋問,survivor,shane-wiigwaas,心音内でキラーの軌跡が見えその上で自身のオーラ足跡を隠す,info;stealth,perks/cross-examination.png
open-handed,手札公開,survivor,ace-visconti,オーラ関連パークの効果範囲を拡張する,aura;info,perks/open-handed.png
up-the-ante,賭け金のレイズ,survivor,ace-visconti,自身を含む生存者の生存人数に応じてグレートスキルチェック確率を上げる,gen-related;healing,perks/up-the-ante.png
ace-in-the-hole,最後の切り札,survivor,ace-visconti,チェストからレア以上のアイテムを引いた際予備のアイテムとアドオンを1つずつ確保する,info,perks/ace-in-the-hole.png
well-make-it,きっとやり遂げる,survivor,,フックから救助した後、90秒間他者の治療速度が大幅に上昇する,healing,perks/well-make-it.png
plunderers-instinct,コソ泥の本能,survivor,,未開封チェストとマップ上のアイテムのオーラが視え、レアアイテムの発見率も上がる,info;aura,perks/plunderers-instinct.png
slippery-meat,ツルツルとした肉体,survivor,,フックからの自力脱出のもがき回数と成功率が上昇する,endurance,perks/slippery-meat.png
deja-vu,デジャヴ,survivor,,マッチ開始時と発電機修理完了時に近接する3台の発電機のオーラを一定時間視認できる,aura;info;gen-related,perks/deja-vu.png
premonition,予感,survivor,,正面かつ近距離にいるキラーの方を見ると警告音が鳴る,info,perks/premonition.png
spine-chill,凍りつく背筋,survivor,,キラーに正面から見られると通知され発動中は各種アクション速度とスキルチェック確率が上がる,info;gen-related;chase,perks/spine-chill.png
small-game,小さな獲物,survivor,,近くのトーテムの方向を見ると警告音が鳴り残りトーテム数が表示される,totem;info,perks/small-game.png
hope,希望,survivor,,脱出ゲート通電後一定時間迅速効果を得る,chase,perks/hope.png
resilience,痛みも気から,survivor,,自身が負傷している間修理・治療のグレートスキルチェック成功範囲が拡大する,gen-related;healing,perks/resilience.png
kinship,血族,survivor,,自分や他の生存者がフックに吊られている間お互いのオーラとキラーのオーラが視える,aura;info,perks/kinship.png
no-one-left-behind,誰も見捨てはしない,survivor,,脱出ゲートが1つ開くと他者の治療・救助の速度とブラッドポイント獲得量が上昇しオーラも視える,aura;info;healing,perks/no-one-left-behind.png
lightweight,身軽,survivor,,赤い傷マークが残る時間が短縮する,stealth,perks/lightweight.png
adversity-spirit,逆境魂,survivor,,負傷状態の間各種アクション速度が上昇する,gen-related;healing;chase,perks/adversity-spirit.png
dark-sense,闇の感覚,survivor,,発電機修理完了のたびキラーのオーラを一定時間視認でき最後の発電機では効果時間が延びる,aura;info;gen-related,perks/dark-sense.png
sloppy-butcher,ずさんな肉屋,killer,,通常攻撃命中時に重傷と出血のステータス効果を与え出血頻度も増加させる,chase,perks/sloppy-butcher.png
hex-thrill-of-the-hunt,呪術：狩りの興奮,killer,,残っているトーテムの数に応じて狩猟カテゴリーのブラッドポイント獲得が増加しトーテム破壊速度を遅らせる,totem,perks/hex-thrill-of-the-hunt.png
hex-no-one-escapes-death,呪術：誰も死から逃れられない,killer,,脱出ゲート通電時に呪いのトーテムが残っていれば発動し生存者を無防備にし自身の移動速度も上げる,totem;chase,perks/hex-no-one-escapes-death.png
whispers,囁き,killer,,近くに生存者がいると時々合図が届く索敵パーク,info,perks/whispers.png
spies-from-the-shadows,影の密偵,killer,,近くのカラスが鳴くと視覚的なサインで知らせる,info,perks/spies-from-the-shadows.png
deerstalker,忍び寄る者,killer,,近くにいる瀕死状態の生存者のオーラが視える,aura;info,perks/deerstalker.png
bitter-murmur,憎悪の囁き,killer,,発電機修理完了のたびその付近の生存者を一定時間表示し最後の発電機では全員のオーラが視える,aura;info;gen-related,perks/bitter-murmur.png
unrelenting,無慈悲,killer,,通常攻撃を外した際のクールダウンを短縮する,chase,perks/unrelenting.png
insidious,狡猾,killer,,一定時間静止すると再び動くまで探知不可状態になる,stealth,perks/insidious.png
monstrous-shrine,異形の祭壇,killer,,地下室絡みのフックからの脱出難易度とペナルティを引き上げエンティティの進行も早める,healing,perks/monstrous-shrine.png
territorial-torment,苦悶の根源,killer,,脅威範囲が拡大し邪悪カテゴリーのブラッドポイント獲得量も増加する,chase,perks/territorial-torment.png
iron-grasp,鋼の握力,killer,,生存者を担いでいる間のもがき脱出効果を弱め脱出に必要な時間を延ばす,chase,perks/iron-grasp.png
